label,person,P21,gender,relation
Susan Misner,Q462955,Q6581072,female,position-held
Susan Misner,Q462955,Q6581072,female,contributes
Denise Faye,Q5257661,Q6581072,female,position-held
Denise Faye,Q5257661,Q6581072,female,contributes
Ekaterina Shchelkanova,Q3875064,Q6581072,female,position-held
Ekaterina Shchelkanova,Q3875064,Q6581072,female,contributes
Beau Bridges,Q309640,Q6581097,male,participated
Beau Bridges,Q309640,Q6581097,male,position-held
Beau Bridges,Q309640,Q6581097,male,position-held
Beau Bridges,Q309640,Q6581097,male,position-held
Beau Bridges,Q309640,Q6581097,male,contributes
John Wayne,Q40531,Q6581097,male,position-held
Rita Hayworth,Q42745,Q6581072,female,position-held
Dean Martin,Q215359,Q6581097,male,position-held
Jerry Lewis,Q294927,Q6581097,male,position-held
Lou Pearlman,Q730887,Q6581097,male,geographicalRelation
Lou Pearlman,Q730887,Q6581097,male,member
Lou Pearlman,Q730887,Q6581097,male,position-held
Lou Pearlman,Q730887,Q6581097,male,member
Lou Pearlman,Q730887,Q6581097,male,position-held
Lou Pearlman,Q730887,Q6581097,male,member
Lou Pearlman,Q730887,Q6581097,male,position-held
Lou Pearlman,Q730887,Q6581097,male,member
Lou Pearlman,Q730887,Q6581097,male,position-held
Lou Pearlman,Q730887,Q6581097,male,member
Lou Pearlman,Q730887,Q6581097,male,position-held
Lou Pearlman,Q730887,Q6581097,male,contributes
Lou Pearlman,Q730887,Q6581097,male,contributes
Lou Pearlman,Q730887,Q6581097,male,contributes
Lou Pearlman,Q730887,Q6581097,male,contributes
Lou Pearlman,Q730887,Q6581097,male,contributes
Glen Campbell,Q162667,Q6581097,male,member
Bobbie Gentry,Q272253,Q6581072,female,member
John Denver,Q105460,Q6581097,male,member
Olivia Newton-John,Q185165,Q6581072,female,member
Sandy Pearlman,Q1101838,Q6581097,male,position-held
Sandy Pearlman,Q1101838,Q6581097,male,position-held
Tom Werman,Q2440207,Q6581097,male,position-held
Tom Werman,Q2440207,Q6581097,male,position-held
Tom Werman,Q2440207,Q6581097,male,position-held
Marcel Janco,Q366217,Q6581097,male,contributes
Ty Burr,Q3542638,Q6581097,male,position-held
Joseph Papp,Q5480583,Q6581097,male,contributes
Clive Owen,Q183178,Q6581097,male,position-held
Julianne Moore,Q80405,Q6581072,female,position-held
Robert Moses,Q1111386,Q6581097,male,topic
Robert Moses,Q1111386,Q6581097,male,equivalent-to
Chris Schenkel,Q1077729,Q6581097,male,participated
Chris Schenkel,Q1077729,Q6581097,male,position-held
Holden Caulfield,Q720235,Q6581097,male,contributes
Holden Caulfield,Q720235,Q6581097,male,member
Banjo Paterson,Q436699,Q6581097,male,equivalent-to
Banjo Paterson,Q436699,Q6581097,male,contributes
Sidney Lumet,Q51559,Q6581097,male,position-held
Sydney Pollack,Q51522,Q6581097,male,participated
Sydney Pollack,Q51522,Q6581097,male,contributes
Mixmaster Morris,Q3317284,Q6581097,male,position-held
Andrea Fischer,Q64528,Q6581072,female,position-held
Andrea Fischer,Q64528,Q6581072,female,member
Franz Fischler,Q78587,Q6581097,male,position-held
Loyola de Palacio,Q255657,Q6581072,female,equivalent-to
Loyola de Palacio,Q255657,Q6581072,female,opposite
Loyola de Palacio,Q255657,Q6581072,female,position-held
Lien Chan,Q558718,Q6581097,male,equivalent-to
Lien Chan,Q558718,Q6581097,male,geographicalRelation
Lien Chan,Q558718,Q6581097,male,opposite
Costas Simitis,Q155390,Q6581097,male,position-held
Itamar Rabinovich,Q701793,Q6581097,male,position-held
Itamar Rabinovich,Q701793,Q6581097,male,position-held
Itamar Rabinovich,Q701793,Q6581097,male,position-held
Massoud Rajavi,Q1554548,Q6581097,male,position-held
Massoud Rajavi,Q1554548,Q6581097,male,geographicalRelation
Massoud Rajavi,Q1554548,Q6581097,male,position-held
Massoud Rajavi,Q1554548,Q6581097,male,position-held
Shimon Peres,Q57410,Q6581097,male,equivalent-to
Shimon Peres,Q57410,Q6581097,male,geographicalRelation
Shimon Peres,Q57410,Q6581097,male,geographicalRelation
Shimon Peres,Q57410,Q6581097,male,relationship
Shimon Peres,Q57410,Q6581097,male,geographicalRelation
