person,FormerColony,label,relation
Q730887,0,Lou Pearlman,contributes
Q730887,0,Lou Pearlman,geographicalRelation
Q730887,0,Lou Pearlman,member
Q730887,0,Lou Pearlman,position-held
Q730887,0,Lou Pearlman,member
Q730887,0,Lou Pearlman,position-held
Q730887,0,Lou Pearlman,member
Q730887,0,Lou Pearlman,position-held
Q730887,0,Lou Pearlman,member
Q730887,0,Lou Pearlman,position-held
Q730887,0,Lou Pearlman,member
Q730887,0,Lou Pearlman,position-held
Q730887,0,Lou Pearlman,contributes
Q730887,0,Lou Pearlman,contributes
Q730887,0,Lou Pearlman,contributes
Q730887,0,Lou Pearlman,contributes
Q730887,0,Lou Pearlman,contributes
Q162667,0,Glen Campbell,member
Q272253,0,Bobbie Gentry,member
Q185165,0,Olivia Newton-John,member
Q1101838,0,Sandy Pearlman,position-held
Q1101838,0,Sandy Pearlman,position-held
Q2440207,0,Tom Werman,position-held
Q2440207,0,Tom Werman,position-held
Q2440207,0,Tom Werman,position-held
Q3542638,0,Ty Burr,position-held
Q80405,0,Julianne Moore,position-held
Q1077729,0,Chris Schenkel,participated
Q1077729,0,Chris Schenkel,position-held
Q436699,0,Banjo Paterson,equivalent-to
Q436699,0,Banjo Paterson,contributes
Q51522,0,Sydney Pollack,participated
Q51522,0,Sydney Pollack,contributes
Q3317284,0,Mixmaster Morris,position-held
Q64528,0,Andrea Fischer,position-held
Q64528,0,Andrea Fischer,member
Q78587,0,Franz Fischler,position-held
Q558718,0,Lien Chan,equivalent-to
Q558718,0,Lien Chan,geographicalRelation
Q558718,0,Lien Chan,opposite
Q558718,0,Lien Chan,equivalent-to
Q558718,0,Lien Chan,geographicalRelation
Q558718,0,Lien Chan,opposite
Q155390,0,Costas Simitis,position-held
Q1554548,0,Massoud Rajavi,position-held
Q1554548,0,Massoud Rajavi,geographicalRelation
Q1554548,0,Massoud Rajavi,position-held
Q1554548,0,Massoud Rajavi,position-held
Q57410,0,Shimon Peres,equivalent-to
Q57410,0,Shimon Peres,geographicalRelation
Q57410,0,Shimon Peres,geographicalRelation
Q57410,0,Shimon Peres,relationship
Q57410,0,Shimon Peres,geographicalRelation
Q57410,0,Shimon Peres,equivalent-to
Q57410,0,Shimon Peres,geographicalRelation
Q57410,0,Shimon Peres,geographicalRelation
Q57410,0,Shimon Peres,relationship
Q57410,0,Shimon Peres,geographicalRelation
Q57410,0,Shimon Peres,equivalent-to
Q57410,0,Shimon Peres,geographicalRelation
Q57410,0,Shimon Peres,geographicalRelation
Q57410,0,Shimon Peres,relationship
Q57410,0,Shimon Peres,geographicalRelation
