person,relation
Henry Stephenson,position-held
Magda,position-held
Charles Waldron,position-held
Tom Gehrels,geographicalRelation
María Lidón,equivalent-to
María Lidón,equivalent-to
Juan Miguel Aguilera,equivalent-to
Elizabeth Mitchell,position-held
Juliet Burke,position-held
Elizabeth Mitchell,contributes
Juliet Burke,contributes
Kiele Sanchez,position-held
Nikki Fernandez,position-held
Rodrigo Santoro,position-held
Paulo,position-held
Kiele Sanchez,contributes
Nikki Fernandez,contributes
Rodrigo Santoro,contributes
Paulo,contributes
Jay Boekelheide,participated
Mark Berger,participated
Tom Scott,participated
Randy Thom,participated
David MacMillan,participated
Peterlin,geographicalRelation
Peterlin,position-held
Peterlin,geographicalRelation
Peterlin,position-held
Adele Webber,contributes
Loretta Devine,contributes
Adele Webber,position-held
Loretta Devine,position-held
Finn Dandrige,contributes
Chris O 'Donnell,contributes
Finn Dandrige,position-held
Chris O 'Donnell,position-held
Dr. Ellis Grey,contributes
Kate Burton,contributes
Dr. Ellis Grey,position-held
Kate Burton,position-held
Olivia Harper,contributes
Sarah Utterback,contributes
Olivia Harper,position-held
Sarah Utterback,position-held
Earl Bellamy,contributes
Richard Boone,position-held
Stewart Petersen,position-held
Henry Wilcoxon,position-held
Smallville,participated
Smallville,participated
Pierce,contributes
Sarah Jane Smith,contributes
Elisabeth Sladen,contributes
Sarah Jane Smith,relationship
Tenth Doctor,relationship
Sarah Jane Smith,opposite
Sarah Jane Smith,position-held
Elisabeth Sladen,position-held
Martha Jones,contributes
Freema Agyeman,contributes
Martha Jones,relationship
Tenth Doctor,relationship
Martha Jones,opposite
Martha Jones,position-held
Freema Agyeman,position-held
Tenth Doctor,member
Tenth Doctor,contributes
David Tennant,contributes
Tenth Doctor,position-held
David Tennant,position-held
Caruso,geographicalRelation
Caruso,geographicalRelation
Caruso,geographicalRelation
Caruso,geographicalRelation
Caruso,geographicalRelation
Caruso,member
Caruso,geographicalRelation
Caruso,geographicalRelation
Caruso,geographicalRelation
Caruso,geographicalRelation
Caruso,geographicalRelation
Michael Winner,contributes
Michael Caine,position-held
Roger Moore,position-held
Neptune,member
Jupiter,member
Pluto,member
Pliny the Elder,contributes
Tom,contributes
M. C. Gainey,contributes
Tom,position-held
M. C. Gainey,position-held
Ethan Rom,contributes
William Mapother,contributes
Ethan Rom,position-held
William Mapother,position-held
de Graaf,position-held
de Graaf,position-held
Simpson,position-held
Simpson,position-held
Simpson,contributes
Constantine XI Palaiologos,member
Kolokotronis,member
Miloš Obilić,member
Tzar Lazar,member
Đurađ I Balšić,member
Ivan Crnojević,member
George Kastrioti Skanderbeg,member
Nikola Karev,member
Vasil Levski,member
Hristo Botev,member
Nikola Šubić Zrinjski,member
Manchester,geographicalRelation
Manchester,geographicalRelation
Manchester,geographicalRelation
Manchester,geographicalRelation
Ray Price,contributes
Ray Price,participated
Johnny Cash,contributes
Johnny Cash,participated
Miranda Bailey,contributes
Chandra Wilson,contributes
Miranda Bailey,relationship
Chandra Wilson,relationship
Miranda Bailey,position-held
Chandra Wilson,position-held
Mark Sloan,contributes
Dane,contributes
Mark Sloan,geographicalRelation
Mark Sloan,relationship
Montgomery,relationship
Mark Sloan,position-held
Dane,position-held
Callie Torres,contributes
Sara Ramirez,contributes
Callie Torres,position-held
Sara Ramirez,position-held
Tom Gehrels,equivalent-to
Tom Gehrels,geographicalRelation
Henry Ian Cusick,position-held
Desmond Hume,position-held
Desmond Hume,equivalent-to
Henry Ian Cusick,contributes
Desmond Hume,contributes
Michael Emerson,position-held
Ben Linus,position-held
Michael Emerson,contributes
Ben Linus,contributes
Saha,geographicalRelation
Saha,position-held
Saha,geographicalRelation
Saha,position-held
Izzie Stevens,contributes
Katherine Heigl,contributes
Izzie Stevens,relationship
Denny Duquette,relationship
Izzie Stevens,position-held
Katherine Heigl,position-held
Denny Duquette,contributes
Jeffrey Dean Morgan,contributes
Denny Duquette,position-held
Jeffrey Dean Morgan,position-held
Fraser,position-held
Fraser,position-held
Fraser,position-held
Fraser,position-held
Fraser,position-held
Robin Williams,position-held
Scott Weinger,position-held
García,geographicalRelation
García,position-held
García,geographicalRelation
García,position-held
Amdahl,position-held
Amdahl,position-held
Amdahl,geographicalRelation
Amdahl,position-held
Hall,contributes
NeNe Leakes,position-held
Nicki Minaj,position-held
Rihanna,position-held
Solange Knowles,position-held
Beyoncé,position-held
Hall,equivalent-to
Sharkeisha,equivalent-to
Hall,contributes
Sharkeisha,contributes
Sharkeisha,position-held
Mariah Carey,position-held
Mark C Lidwill,geographicalRelation
Mark C Lidwill,position-held
Richard Harrison,geographicalRelation
Richard Harrison,position-held
J. D. H. Slater,geographicalRelation
J. D. H. Slater,position-held
A. Grabham,geographicalRelation
A. Grabham,position-held
Tyas,geographicalRelation
Tyas,position-held
Tyas,geographicalRelation
Tyas,position-held
Tyas,geographicalRelation
Tyas,position-held
Tyas,geographicalRelation
Tyas,position-held
Tyas,geographicalRelation
Tyas,position-held
Tyas,geographicalRelation
Tyas,position-held
Tyas,geographicalRelation
Tyas,position-held
Tyas,geographicalRelation
Tyas,position-held
Tyas,geographicalRelation
Tyas,position-held
Tyas,geographicalRelation
Tyas,position-held
Tyas,geographicalRelation
Tyas,position-held
Lutz D. Schmadel,contributes
Lutz D. Schmadel,relationship
Lindsay,position-held
Rachel,position-held
Bonaparte,geographicalRelation
Bonaparte,position-held
Gustav IV Adolf,position-held
von Fersen,position-held
von Fersen,geographicalRelation
von Fersen,position-held
Flexner,geographicalRelation
Flexner,position-held
Flexner,geographicalRelation
Flexner,position-held
Flexner,geographicalRelation
Flexner,position-held
Flexner,geographicalRelation
Jeffrey Lieber,contributes
J. J. Abrams,contributes
Damon Lindelof,contributes
J. J. Abrams,equivalent-to
Abrams,equivalent-to
Grissom,geographicalRelation
Grissom,position-held
Lynn Ahrens,participated
Stephen Flahertyin,participated
Mark Harmon,member
Mark Harmon,position-held
Schirra,position-held
Mark Harmon,contributes
Schirra,contributes
John Mese,member
John Mese,position-held
Eisele,position-held
John Mese,contributes
Eisele,contributes
Fredric Lehne,member
Fredric Lehne,position-held
Cunningham,position-held
Fredric Lehne,contributes
Cunningham,contributes
Max Wright,member
Max Wright,position-held
Wendt,position-held
Max Wright,contributes
Wendt,contributes
Shenton,relationship
Ellis Hillman,relationship
Shenton,equivalent-to
Shenton,equivalent-to
Shenton,equivalent-to
Shenton,equivalent-to
Ellis Hillman,geographicalRelation
Ellis Hillman,position-held
Ellis Hillman,position-held
Catherine Zeta-Jones,position-held
Velma Kelly,position-held
Catherine Zeta-Jones,contributes
Velma Kelly,contributes
Susan Misner,position-held
Liz,position-held
Susan Misner,contributes
Liz,contributes
Denise Faye,position-held
Annie,position-held
Denise Faye,contributes
Annie,contributes
Ekaterina Shchelkanova,position-held
Katalin Helinszki,position-held
Ekaterina Shchelkanova,contributes
Katalin Helinszki,contributes
Katalin Helinszki,equivalent-to
Hunyak,equivalent-to
Mýa,position-held
Mona,position-held
Mýa,contributes
Mona,contributes
Beau Bridges,participated
Beau Bridges,position-held
Simon Kress,position-held
Beau Bridges,position-held
Beau Bridges,position-held
Beau Bridges,contributes
Simon Kress,contributes
